year,samplingLocation,sampColor,Lattitude,Longitude,dateRange,dateSample,fieldNumber,cropPhenology,plotID,Disease.Incidence,Disease.Severity
2018,Bhola,blueSouth,22.66504,90.6442,firstSampling,Thu Feb 15 00:00:00 UTC 2018,1,tillering,BholablueSouthfirstSampling1tillering,0,0
2018,Bhola,blueSouth,22.663289,90.642219,firstSampling,Thu Feb 15 00:00:00 UTC 2018,2,tillering,BholablueSouthfirstSampling2tillering,0,0
2018,Bhola,blueSouth,22.661589,90.643,firstSampling,Thu Feb 15 00:00:00 UTC 2018,3,stemElongation,BholablueSouthfirstSampling3stemElongation,0,0
2018,Bhola,blueSouth,22.660247,90.655593,firstSampling,Thu Feb 15 00:00:00 UTC 2018,4,tillering,BholablueSouthfirstSampling4tillering,0,0
2018,Bhola,blueEast,22.674083,90.675062,firstSampling,Thu Feb 15 00:00:00 UTC 2018,1,tillering,BholablueEastfirstSampling1tillering,0,0
2018,Bhola,blueEast,22.67851,90.673687,firstSampling,Sun Feb 18 00:00:00 UTC 2018,2,tillering,BholablueEastfirstSampling2tillering,0,0
2018,Bhola,blueEast,22.676631,90.671588,firstSampling,Thu Feb 15 00:00:00 UTC 2018,3,tillering,BholablueEastfirstSampling3tillering,0,0
2018,Bhola,blueEast,22.6771,90.676471,firstSampling,Thu Feb 15 00:00:00 UTC 2018,4,tillering,BholablueEastfirstSampling4tillering,0,0
2018,Bhola,blueNorth,22.712618,90.657629,firstSampling,Thu Feb 15 00:00:00 UTC 2018,1,tillering,BholablueNorthfirstSampling1tillering,0,0
2018,Bhola,blueNorth,22.717765,90.659995,firstSampling,Sun Feb 18 00:00:00 UTC 2018,2,stemElongation,BholablueNorthfirstSampling2stemElongation,0,0
2018,Bhola,blueNorth,22.717614,90.656948,firstSampling,Sun Feb 18 00:00:00 UTC 2018,3,stemElongation,BholablueNorthfirstSampling3stemElongation,0,0
2018,Bhola,blueNorth,22.715547,90.656512,firstSampling,Sun Feb 18 00:00:00 UTC 2018,4,tillering,BholablueNorthfirstSampling4tillering,0,0
2018,Bhola,blueWest,22.697293,90.634769,firstSampling,Sun Feb 18 00:00:00 UTC 2018,1,tillering,BholablueWestfirstSampling1tillering,0,0
2018,Bhola,blueWest,22.697698,90.628035,firstSampling,Sun Feb 18 00:00:00 UTC 2018,2,tillering,BholablueWestfirstSampling2tillering,0,0
2018,Bhola,blueWest,22.696874,90.630149,firstSampling,Sun Feb 18 00:00:00 UTC 2018,3,tillering,BholablueWestfirstSampling3tillering,0,0
2018,Bhola,blueWest,22.699277,90.629957,firstSampling,Sun Feb 18 00:00:00 UTC 2018,4,tillering,BholablueWestfirstSampling4tillering,0,0
2018,Bhola,yellowWest,22.708496,90.608035,firstSampling,Sun Feb 18 00:00:00 UTC 2018,1,tillering,BholayellowWestfirstSampling1tillering,0,0
2018,Bhola,yellowWest,22.707066,90.606334,firstSampling,Sun Feb 18 00:00:00 UTC 2018,2,tillering,BholayellowWestfirstSampling2tillering,0,0
2018,Bhola,yellowWest,22.7063207,90.6085315,firstSampling,Sun Feb 18 00:00:00 UTC 2018,3,stemElongation,BholayellowWestfirstSampling3stemElongation,0,0
2018,Bhola,yellowWest,22.705192,90.606935,firstSampling,Sun Feb 18 00:00:00 UTC 2018,4,tillering,BholayellowWestfirstSampling4tillering,0,0
2018,Bhola,yellowWest,22.722042,90.590772,firstSampling,Sun Feb 18 00:00:00 UTC 2018,5,tillering,BholayellowWestfirstSampling5tillering,0,0
2018,Bhola,yellowWest,22.721093,90.592633,firstSampling,Sun Feb 18 00:00:00 UTC 2018,6,tillering,BholayellowWestfirstSampling6tillering,0,0
2018,Bhola,yellowWest,22.719925,90.590232,firstSampling,Sun Feb 18 00:00:00 UTC 2018,7,stemElongation,BholayellowWestfirstSampling7stemElongation,0,0
2018,Bhola,yellowWest,22.717535,90.591094,firstSampling,Sun Feb 18 00:00:00 UTC 2018,8,stemElongation,BholayellowWestfirstSampling8stemElongation,0,0
2018,Bhola,greenSouth,22.6202,90.6164,firstSampling,Mon Feb 19 00:00:00 UTC 2018,1,tillering,BholagreenSouthfirstSampling1tillering,0,0
2018,Bhola,greenSouth,22.618222,90.615456,firstSampling,Mon Feb 19 00:00:00 UTC 2018,2,tillering,BholagreenSouthfirstSampling2tillering,0,0
2018,Bhola,greenSouth,22.615945,90.617684,firstSampling,Mon Feb 19 00:00:00 UTC 2018,3,tillering,BholagreenSouthfirstSampling3tillering,0,0
2018,Bhola,greenSouth,22.609223,90.618144,firstSampling,Mon Feb 19 00:00:00 UTC 2018,4,tillering,BholagreenSouthfirstSampling4tillering,0,0
2018,Bhola,greenSouth,22.610945,90.617144,firstSampling,Mon Feb 19 00:00:00 UTC 2018,5,tillering,BholagreenSouthfirstSampling5tillering,0,0
2018,Bhola,yellowSouth,22.647365,90.61911,firstSampling,Mon Feb 19 00:00:00 UTC 2018,1,tillering,BholayellowSouthfirstSampling1tillering,0,0
2018,Bhola,yellowSouth,22.647769,90.617502,firstSampling,Mon Feb 19 00:00:00 UTC 2018,2,tillering,BholayellowSouthfirstSampling2tillering,0,0
2018,Bhola,yellowSouth,22.645925,90.622052,firstSampling,Mon Feb 19 00:00:00 UTC 2018,3,tillering,BholayellowSouthfirstSampling3tillering,0,0
2018,Bhola,yellowSouth,22.648951,90.620307,firstSampling,Mon Feb 19 00:00:00 UTC 2018,4,tillering,BholayellowSouthfirstSampling4tillering,0,0
2018,Bhola,yellowSouth,22.645026,90.618858,firstSampling,Mon Feb 19 00:00:00 UTC 2018,5,tillering,BholayellowSouthfirstSampling5tillering,0,0
2018,Bhola,yellowSouth,22.6255,90.62,firstSampling,Mon Feb 19 00:00:00 UTC 2018,6,tillering,BholayellowSouthfirstSampling6tillering,0,0
2018,Bhola,yellowSouth,22.62399,90.6191,firstSampling,Mon Feb 19 00:00:00 UTC 2018,7,tillering,BholayellowSouthfirstSampling7tillering,0,0
2018,Bhola,yellowSouth,22.628571,90.619764,firstSampling,Mon Feb 19 00:00:00 UTC 2018,8,tillering,BholayellowSouthfirstSampling8tillering,0,0
2018,Bhola,yellowSouth,22.629794,90.617851,firstSampling,Mon Feb 19 00:00:00 UTC 2018,9,tillering,BholayellowSouthfirstSampling9tillering,0,0
2018,Bhola,yellowSouth,22.629948,90.620982,firstSampling,Mon Feb 19 00:00:00 UTC 2018,10,tillering,BholayellowSouthfirstSampling10tillering,0,0
2018,Bhola,yellowSouth,22.625697,90.617455,firstSampling,Mon Feb 19 00:00:00 UTC 2018,11,tillering,BholayellowSouthfirstSampling11tillering,0,0
2018,Bhola,yellowSouth,22.631066,90.619261,firstSampling,Mon Feb 19 00:00:00 UTC 2018,12,tillering,BholayellowSouthfirstSampling12tillering,0,0
2018,Bhola,yellowSouth,22.62767,90.617603,firstSampling,Mon Feb 19 00:00:00 UTC 2018,13,tillering,BholayellowSouthfirstSampling13tillering,0,0
2018,Bhola,greenSouth,22.61127,90.614469,firstSampling,Mon Feb 19 00:00:00 UTC 2018,6,tillering,BholagreenSouthfirstSampling6tillering,0,0
2018,Bhola,greenSouth,22.612498,90.618352,firstSampling,Mon Feb 19 00:00:00 UTC 2018,7,tillering,BholagreenSouthfirstSampling7tillering,0,0
2018,Bhola,yellowNorth,22.736522,90.599278,firstSampling,Tue Feb 20 00:00:00 UTC 2018,1,stemElongation,BholayellowNorthfirstSampling1stemElongation,0,0
2018,Bhola,yellowNorth,22.734494,90.600465,firstSampling,Tue Feb 20 00:00:00 UTC 2018,2,stemElongation,BholayellowNorthfirstSampling2stemElongation,0,0
2018,Bhola,yellowNorth,22.732518,90.601357,firstSampling,Tue Feb 20 00:00:00 UTC 2018,3,stemElongation,BholayellowNorthfirstSampling3stemElongation,0,0
2018,Bhola,yellowNorth,22.735894,90.601344,firstSampling,Tue Feb 20 00:00:00 UTC 2018,4,stemElongation,BholayellowNorthfirstSampling4stemElongation,0,0
2018,Bhola,yellowNorth,22.734622,90.603107,firstSampling,Tue Feb 20 00:00:00 UTC 2018,5,stemElongation,BholayellowNorthfirstSampling5stemElongation,0,0
2018,Bhola,yellowNorth,22.755087,90.607735,firstSampling,Tue Feb 20 00:00:00 UTC 2018,6,stemElongation,BholayellowNorthfirstSampling6stemElongation,0,0
2018,Bhola,yellowNorth,22.755087,90.607735,firstSampling,Tue Feb 20 00:00:00 UTC 2018,7,stemElongation,BholayellowNorthfirstSampling7stemElongation,0,0
